epoch,step,train_loss
49,49,0.9998607635498047
99,99,0.9989600777626038
149,149,0.9220548868179321
199,199,0.5633692145347595
249,249,0.5466281771659851
299,299,0.5313963294029236
349,349,0.5136090517044067
399,399,0.4966593086719513
449,449,0.4783001244068146
499,499,0.4596031904220581
549,549,0.43828654289245605
599,599,0.41545340418815613
649,649,0.39138853549957275
699,699,0.3694683909416199
749,749,0.3436180651187897
799,799,0.32211020588874817
849,849,0.30164194107055664
899,899,0.28260689973831177
949,949,0.2654712498188019
999,999,0.24784913659095764
