epoch,step,train_loss
49,49,0.9997521042823792
99,99,0.9988908171653748
149,149,0.971202552318573
199,199,0.5685296654701233
249,249,0.5379343628883362
299,299,0.520399272441864
349,349,0.5013617277145386
399,399,0.4767710268497467
449,449,0.4536017179489136
499,499,0.4285087585449219
549,549,0.40388035774230957
599,599,0.38103652000427246
649,649,0.3573110103607178
699,699,0.33522000908851624
749,749,0.3143698573112488
799,799,0.29664963483810425
849,849,0.2767290472984314
899,899,0.2598758339881897
949,949,0.24466818571090698
999,999,0.22961170971393585
1049,1049,0.2157662808895111
1099,1099,0.2030373513698578
1149,1149,0.19074897468090057
1199,1199,0.1793852001428604
1249,1249,0.16876737773418427
1299,1299,0.15892262756824493
1349,1349,0.15063001215457916
1399,1399,0.14232462644577026
1449,1449,0.1341344714164734
1499,1499,0.12616829574108124
1549,1549,0.11848116666078568
1599,1599,0.11255943775177002
1649,1649,0.12020783126354218
1699,1699,0.10093522816896439
1749,1749,0.09577806293964386
1799,1799,0.09097808599472046
1849,1849,0.0865088477730751
1899,1899,0.08264265209436417
1949,1949,0.07849689573049545
1999,1999,0.07490039616823196
