epoch,step,train_loss_epoch,train_loss_step
0,49,,36.727943420410156
0,51,46.711814880371094,
1,99,,36.57805252075195
1,103,44.5147819519043,
2,149,,13.424559593200684
2,155,33.26500701904297,
3,199,,58.94058609008789
3,207,24.84494972229004,
4,249,,18.08127784729004
4,259,23.54494285583496,
5,299,,25.060497283935547
5,311,22.418752670288086,
6,349,,16.28603172302246
6,363,20.921390533447266,
7,399,,12.59711742401123
7,415,18.83626937866211,
8,449,,13.35101318359375
8,467,20.60112190246582,
9,499,,10.574905395507812
9,519,19.770301818847656,
