epoch,step,train_loss_epoch
0,0,4.731438159942627
1,1,2.3890600204467773
2,2,2.4642038345336914
3,3,1.7911829948425293
4,4,2.6481447219848633
5,5,4.051774024963379
6,6,2.367844581604004
7,7,2.9340147972106934
8,8,3.0882182121276855
9,9,2.429901123046875
10,10,1.2747589349746704
11,11,2.3540821075439453
12,12,2.0756583213806152
13,13,0.986011266708374
14,14,3.5172243118286133
15,15,1.1626818180084229
16,16,2.402665376663208
