epoch,step,train_loss_epoch,train_loss_step
0,0,4.495192050933838,
1,1,4.168303489685059,
2,2,4.068376541137695,
3,3,3.8618955612182617,
4,4,3.853318929672241,
5,5,3.718144416809082,
6,6,3.682913064956665,
7,7,3.6097185611724854,
8,8,3.536914587020874,
9,9,3.463137149810791,
10,10,3.4119629859924316,
11,11,3.331589460372925,
12,12,3.2765467166900635,
13,13,3.2122435569763184,
14,14,3.168578624725342,
15,15,3.107905864715576,
16,16,3.069500684738159,
17,17,2.9983696937561035,
18,18,2.9501919746398926,
19,19,2.88478946685791,
20,20,2.82426118850708,
21,21,2.765018939971924,
22,22,2.707373857498169,
23,23,2.6442534923553467,
24,24,2.5807430744171143,
25,25,2.5149288177490234,
26,26,2.4505186080932617,
27,27,2.387775182723999,
28,28,2.33943510055542,
29,29,2.2598276138305664,
30,30,2.1984822750091553,
31,31,2.1316349506378174,
32,32,2.070406675338745,
33,33,2.0058233737945557,
34,34,1.9397937059402466,
35,35,1.8785492181777954,
36,36,1.814897894859314,
37,37,1.752639651298523,
38,38,1.6931358575820923,
39,39,1.633731722831726,
40,40,1.5773690938949585,
41,41,1.51557457447052,
42,42,1.4605562686920166,
43,43,1.4039504528045654,
44,44,1.348549485206604,
45,45,1.2955632209777832,
46,46,1.2439850568771362,
47,47,1.1929078102111816,
48,48,1.1416292190551758,
49,49,,1.095874309539795
49,49,1.095874309539795,
50,50,1.0456925630569458,
51,51,0.9987378716468811,
52,52,0.9537357687950134,
53,53,0.9103243350982666,
54,54,0.8679800629615784,
55,55,0.82695072889328,
56,56,0.7876376509666443,
57,57,0.7486124038696289,
58,58,0.7112773656845093,
59,59,0.676202118396759,
60,60,0.6417238712310791,
61,61,0.6075042486190796,
62,62,0.5748128890991211,
63,63,0.5440369248390198,
64,64,0.5146283507347107,
65,65,0.48652005195617676,
66,66,0.45911267399787903,
67,67,0.4329841434955597,
68,68,0.40722912549972534,
69,69,0.3839396834373474,
70,70,0.3608802855014801,
71,71,0.3392186164855957,
72,72,0.31800293922424316,
73,73,0.29846063256263733,
74,74,0.28043800592422485,
75,75,0.26184549927711487,
76,76,0.24525004625320435,
77,77,0.22945375740528107,
78,78,0.21674010157585144,
79,79,0.19974566996097565,
80,80,0.1876213699579239,
81,81,0.17402289807796478,
82,82,0.16182474792003632,
