epoch,step,train_loss
49,49,0.9995526075363159
99,99,0.9958623647689819
149,149,0.6330923438072205
199,199,0.5448112487792969
249,249,0.5265372395515442
299,299,0.5052054524421692
349,349,0.4800138771533966
399,399,0.45406901836395264
449,449,0.4274493157863617
499,499,0.4009280502796173
549,549,0.37535902857780457
599,599,0.3515297472476959
649,649,0.32939445972442627
699,699,0.30845147371292114
749,749,0.28907322883605957
799,799,0.2727644741535187
849,849,0.254691481590271
899,899,0.23771315813064575
949,949,0.2227596938610077
999,999,0.2106044441461563
1049,1049,0.19539843499660492
1099,1099,0.18237467110157013
1149,1149,0.1707238405942917
1199,1199,0.16016413271427155
1249,1249,0.15008790791034698
1299,1299,0.1409616470336914
1349,1349,0.13238568603992462
1399,1399,0.12463530898094177
1449,1449,0.1173248291015625
1499,1499,0.11074015498161316
1549,1549,0.10549288243055344
1599,1599,0.09844521433115005
1649,1649,0.09349818527698517
1699,1699,0.08794350177049637
1749,1749,0.08395344018936157
1799,1799,0.07901787757873535
1849,1849,0.07518739253282547
1899,1899,0.07175368815660477
1949,1949,0.06784488260746002
1999,1999,0.06520330160856247
