epoch,step,train_loss_epoch,train_loss_step
0,0,0.4072097837924957,
1,1,0.3157299757003784,
2,2,0.27520230412483215,
3,3,0.22484108805656433,
4,4,0.22187039256095886,
5,5,0.1832445114850998,
6,6,0.16098327934741974,
7,7,0.15190094709396362,
8,8,0.1386902928352356,
9,9,0.14757448434829712,
10,10,0.1215602457523346,
11,11,0.12663006782531738,
12,12,0.11884111911058426,
13,13,0.13107985258102417,
14,14,0.11039019376039505,
15,15,0.10839046537876129,
16,16,0.1109861209988594,
17,17,0.10165116935968399,
18,18,0.09960045665502548,
19,19,0.091792531311512,
20,20,0.09124364703893661,
21,21,0.0886828601360321,
22,22,0.08856368809938431,
23,23,0.08906333148479462,
24,24,0.08263491094112396,
25,25,0.0863819420337677,
26,26,0.08138322830200195,
27,27,0.1088378056883812,
28,28,0.08676576614379883,
29,29,0.07806944847106934,
30,30,0.08158467710018158,
31,31,0.07641938328742981,
32,32,0.08015558868646622,
33,33,0.07728470861911774,
34,34,0.07614101469516754,
35,35,0.08297816663980484,
36,36,0.07417065650224686,
37,37,0.0789487361907959,
38,38,0.07330483943223953,
39,39,0.07798152416944504,
40,40,0.07668104767799377,
41,41,0.07325978577136993,
42,42,0.07306331396102905,
43,43,0.07397853583097458,
44,44,0.06976761668920517,
45,45,0.07310580462217331,
46,46,0.06842944025993347,
47,47,0.0707429051399231,
48,48,0.06903375685214996,
49,49,,0.07391098141670227
49,49,0.07391098141670227,
50,50,0.07283800840377808,
51,51,0.06955190747976303,
52,52,0.07116342335939407,
53,53,0.07449892908334732,
54,54,0.0666075125336647,
55,55,0.07041942328214645,
56,56,0.07115800678730011,
57,57,0.07094930857419968,
58,58,0.07069116085767746,
59,59,0.06912155449390411,
60,60,0.06768454611301422,
61,61,0.07015017420053482,
62,62,0.06709714233875275,
63,63,0.07042951136827469,
64,64,0.06955834478139877,
65,65,0.0713663324713707,
66,66,0.06504199653863907,
67,67,0.06867621839046478,
68,68,0.07519365102052689,
69,69,0.06786395609378815,
70,70,0.06958847492933273,
71,71,0.06635671854019165,
72,72,0.0691475048661232,
73,73,0.07081930339336395,
74,74,0.06464485824108124,
75,75,0.06980966031551361,
76,76,0.0657421126961708,
77,77,0.06757110357284546,
78,78,0.06888808310031891,
79,79,0.06313308328390121,
80,80,0.06624910980463028,
81,81,0.06449153274297714,
82,82,0.06682990491390228,
83,83,0.06722836196422577,
84,84,0.06633341312408447,
85,85,0.0662817731499672,
86,86,0.06569456309080124,
87,87,0.0711938738822937,
88,88,0.0639590322971344,
89,89,0.07327662408351898,
90,90,0.06743674725294113,
91,91,0.06732787191867828,
92,92,0.06531048566102982,
93,93,0.06994467973709106,
94,94,0.06447472423315048,
95,95,0.067527636885643,
96,96,0.06732632219791412,
97,97,0.06523486226797104,
98,98,0.06880135089159012,
99,99,,0.06729168444871902
99,99,0.06729168444871902,
100,100,0.06298689544200897,
101,101,0.06828427314758301,
102,102,0.06565134972333908,
103,103,0.06560108810663223,
104,104,0.06557407975196838,
105,105,0.06505091488361359,
106,106,0.06554203480482101,
107,107,0.06493449211120605,
108,108,0.06618645042181015,
109,109,0.06683646142482758,
110,110,0.06809282302856445,
111,111,0.06258029490709305,
112,112,0.06409923732280731,
113,113,0.06309530138969421,
114,114,0.06330620497465134,
115,115,0.0657401978969574,
116,116,0.06382297724485397,
117,117,0.06394458562135696,
118,118,0.062357936054468155,
119,119,0.06512906402349472,
120,120,0.06385447084903717,
121,121,0.06573337316513062,
122,122,0.06309806555509567,
123,123,0.06213623657822609,
124,124,0.06527939438819885,
125,125,0.06529515236616135,
126,126,0.06196649372577667,
127,127,0.06230268254876137,
128,128,0.0621817521750927,
129,129,0.06219908595085144,
130,130,0.0595768503844738,
131,131,0.06361930817365646,
132,132,0.0588986910879612,
133,133,0.05886203795671463,
134,134,0.06414869427680969,
135,135,0.05763086676597595,
136,136,0.06064288318157196,
137,137,0.06079603731632233,
