epoch,step,train_loss
24,49,1.6139310598373413
49,99,1.437477946281433
74,149,1.4344403743743896
99,199,1.4235931634902954
124,249,1.4027353525161743
149,299,1.4097915887832642
174,349,1.115866780281067
199,399,1.1899662017822266
224,449,0.9435112476348877
249,499,0.7136567234992981
274,549,0.8260472416877747
299,599,0.567560613155365
324,649,0.623841404914856
349,699,0.4211081564426422
374,749,0.3924166262149811
399,799,0.5651146769523621
424,849,0.42260056734085083
449,899,0.3879604935646057
474,949,0.5203754305839539
499,999,0.34472209215164185
524,1049,0.4088385999202728
549,1099,0.5252728462219238
574,1149,0.4406105577945709
599,1199,0.31554722785949707
624,1249,0.431764155626297
649,1299,0.34901875257492065
674,1349,0.34060484170913696
699,1399,0.4301530122756958
724,1449,0.304179847240448
749,1499,0.1719292551279068
774,1549,0.4858434200286865
799,1599,0.13973604142665863
824,1649,0.31852060556411743
849,1699,0.6141344308853149
874,1749,0.402118057012558
899,1799,0.3987273573875427
924,1849,0.35063332319259644
949,1899,0.246503084897995
974,1949,0.12301976978778839
999,1999,0.11652468889951706
