epoch,step,train_loss
49,49,0.9997910261154175
99,99,0.9989560842514038
149,149,0.9710009098052979
199,199,0.5756090879440308
249,249,0.5475354194641113
299,299,0.5339540839195251
349,349,0.5187628865242004
399,399,0.49994340538978577
449,449,0.4824206233024597
499,499,0.45439308881759644
549,549,0.4288277328014374
599,599,0.4044497609138489
649,649,0.3817196786403656
699,699,0.35879597067832947
749,749,0.3371710479259491
799,799,0.3196375370025635
849,849,0.2971256971359253
899,899,0.2785741686820984
949,949,0.26122209429740906
999,999,0.25130364298820496
1049,1049,0.23070771992206573
1099,1099,0.22538089752197266
1149,1149,0.20398308336734772
1199,1199,0.19190047681331635
1249,1249,0.18060433864593506
1299,1299,0.170614093542099
1349,1349,0.1594981551170349
1399,1399,0.15025199949741364
1449,1449,0.14169764518737793
1499,1499,0.13624180853366852
