epoch,step,train_loss
49,49,0.9997031092643738
99,99,0.9988146424293518
149,149,0.8898128867149353
199,199,0.5722793936729431
249,249,0.547794759273529
299,299,0.5333938002586365
349,349,0.5183919072151184
399,399,0.5099880695343018
449,449,0.48024290800094604
499,499,0.45778343081474304
549,549,0.43491262197494507
599,599,0.41137638688087463
649,649,0.3878313899040222
699,699,0.36530399322509766
749,749,0.3435996174812317
799,799,0.32285070419311523
849,849,0.3033045530319214
899,899,0.28330811858177185
949,949,0.27010801434516907
999,999,0.2516936659812927
