epoch,step,train_loss_epoch
0,1,7.926949977874756
1,3,6.8924689292907715
2,5,6.412980556488037
3,7,6.643738269805908
4,9,6.033421039581299
5,11,6.247954845428467
6,13,5.934043884277344
7,15,6.176301002502441
8,17,5.979467868804932
9,19,6.1147332191467285
