epoch,step,train_loss
49,49,0.9994506239891052
99,99,0.9968465566635132
149,149,0.6828176975250244
199,199,0.540678858757019
249,249,0.5224226713180542
299,299,0.4992547035217285
349,349,0.4763546884059906
399,399,0.4505244493484497
449,449,0.42360424995422363
499,499,0.39824557304382324
549,549,0.3731585144996643
599,599,0.34945955872535706
649,649,0.3264937698841095
699,699,0.3051380515098572
749,749,0.2866043746471405
799,799,0.2673865556716919
849,849,0.2508721351623535
899,899,0.23458047211170197
949,949,0.21989527344703674
999,999,0.20578764379024506
