epoch,step,train_loss
49,49,0.9998191595077515
99,99,0.9992640614509583
149,149,0.9981251358985901
199,199,0.6848883032798767
249,249,0.5534170269966125
299,299,0.5380194187164307
349,349,0.5175921320915222
399,399,0.4969860911369324
449,449,0.4756005108356476
499,499,0.45294323563575745
549,549,0.4291166663169861
599,599,0.4036724865436554
649,649,0.37883222103118896
699,699,0.35418403148651123
749,749,0.3320426642894745
799,799,0.31201204657554626
849,849,0.2909209728240967
899,899,0.27266785502433777
949,949,0.25886979699134827
999,999,0.24265876412391663
