score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error,mean_depth_error,mean_lateral_error,mean_euclidean_error,mean_range_error,mean_bearing_error_deg,mean_depth_bias,mean_lateral_bias
0.1,0.5,0.27120790679184403,0.1990686845168801,0.38484621155288823,0.26240409207161125,513,2064,820,2577,1333,1072,1.9253731343283582,0.27345891492184077,0.1944372261244419,0.15209855110934603,0.2734588804738491,0.1902016130135052,0.795394039095132,-0.059920610043040494,0.06188198702580515
0.1,1.0,0.5300925780618174,0.323244082266201,0.6249062265566392,0.4260869565217391,833,1744,500,2577,1333,1072,1.626865671641791,0.44318399169818,0.3090870410454373,0.24299211116755853,0.4431839766722964,0.3215244442759552,1.1522534877490986,-0.09257800252783914,0.13887001743086247
0.1,1.5,0.6201974083015548,0.3581684128831975,0.6924231057764441,0.4721227621483376,923,1654,410,2577,1333,1072,1.5429104477611941,0.543393004401323,0.3989306169108993,0.27862337994049197,0.543392992116319,0.41360167020655597,1.3346934690825105,-0.13277750115999035,0.14601421134621068
0.1,2.0,0.6482921624287267,0.3717500970120295,0.7186796699174793,0.49002557544757025,958,1619,375,2577,1333,1072,1.5102611940298507,0.6140150530388904,0.4639742482679124,0.29417768195815897,0.6140150448668521,0.475034729981206,1.4340795685445458,-0.15053157629697955,0.14259386418430067
0.15,0.5,0.27120790679184403,0.2737430167597765,0.3675918979744936,0.313800832532821,490,1300,843,1790,1333,1072,1.212686567164179,0.27218787297553,0.19446393689330743,0.14959846002867028,0.2721878338370519,0.18938295219980944,0.79497830925184,-0.06224225808163079,0.06439083819942815
0.15,1.0,0.5300925780618174,0.44078212290502794,0.5918979744936234,0.5052833813640729,789,1001,544,1790,1333,1072,0.933768656716418,0.43959370946745296,0.3081496588328643,0.23880291987961236,0.43959369427026623,0.32108672792943044,1.1307002776163448,-0.08904954583321537,0.14114158302167826
0.15,1.5,0.6201974083015548,0.488268156424581,0.6556639159789948,0.5597182196605828,874,916,459,1790,1333,1072,0.8544776119402985,0.5340204902117542,0.39305334601304076,0.2724501332843536,0.5340204791216642,0.40800667897512466,1.293333538488156,-0.1268473382127094,0.1493281835830798
0.15,2.0,0.6482921624287267,0.5039106145251396,0.6766691672918229,0.5776496958053153,902,888,431,1790,1333,1072,0.8283582089552238,0.5885952412702496,0.4446966998328655,0.2834259347077418,0.5885952362053198,0.45609740459492915,1.3766566497680872,-0.14866136222615212,0.14203035066982198
0.2,0.5,0.27120790679184403,0.3682108626198083,0.34583645911477867,0.3566731141199226,461,791,872,1252,1333,1072,0.7378731343283582,0.26948359886971823,0.19225476465618274,0.14735766538214787,0.269483559814257,0.18796197264576006,0.7833377960358934,-0.07020892083256984,0.06238156847187082
0.2,1.0,0.5300925780618174,0.5822683706070287,0.5468867216804201,0.5640232108317216,729,523,604,1252,1333,1072,0.4878731343283582,0.4322813270780756,0.3056964246333872,0.23160874040283783,0.43228130590224473,0.3168825715561817,1.0933560584980202,-0.09710727503270279,0.1354640923307593
0.2,1.5,0.6201974083015548,0.6437699680511182,0.6046511627906976,0.6235976789168278,806,446,527,1252,1333,1072,0.416044776119403,0.5246072315355089,0.38952400696188877,0.26327208813658864,0.524607217927118,0.40182884763544197,1.2441162185314127,-0.13201892139302293,0.1408796353177826
