score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error,mean_depth_error,mean_lateral_error,mean_euclidean_error,mean_range_error,mean_bearing_error_deg,mean_depth_bias,mean_lateral_bias
0.1,0.5,0.44596360386273043,0.1703771013175829,0.5626406601650412,0.26155187445510025,750,3652,583,4402,1333,1072,3.406716417910448,0.2449170045682707,0.1579669574101766,0.15171384373307228,0.24491702528313733,0.16719103709294764,0.6793250135368091,-0.04009597746531168,-0.0027176721394062044
0.1,1.0,0.636562007169225,0.22376192639709222,0.7389347336834209,0.3435047951176983,985,3417,348,4402,1333,1072,3.1875,0.36851121437356016,0.26518894403719057,0.19795536940472985,0.3685112210440581,0.27936878947016963,0.8867747129168038,-0.017014491134488642,0.01585347715973249
0.1,1.5,0.6844614028967254,0.23625624716038165,0.7801950487621906,0.36268526591107236,1040,3362,293,4402,1333,1072,3.1361940298507465,0.4513819658162471,0.3254681871487544,0.23828955904867213,0.451381977955307,0.3587105368993865,0.9830691920268766,0.014975619774598341,0.04056216389872134
0.1,2.0,0.7041207021269603,0.2421626533393912,0.7996999249812453,0.37175239755884915,1066,3336,267,4402,1333,1072,3.111940298507463,0.5081880104339845,0.367864546811603,0.2601154039860275,0.5081880259323315,0.4163363744862344,1.0477104511812003,0.02701534629986389,0.040200234707060495
0.15,0.5,0.44596360386273043,0.2571127502634352,0.5491372843210802,0.3502392344497608,732,2115,601,2847,1333,1072,1.9729477611940298,0.24339504442307283,0.15735558864197444,0.15049776674090512,0.24339506461191657,0.16615656498353,0.6750347724705995,-0.042972248108660585,-0.001131232634512453
0.15,1.0,0.636562007169225,0.3350895679662803,0.7156789197299325,0.4564593301435407,954,1893,379,2847,1333,1072,1.765858208955224,0.3636290797383349,0.2624561086890583,0.19495535099906242,0.3636290849728476,0.27634637369795867,0.8762087875360953,-0.018125468579978064,0.013380444399715719
0.15,1.5,0.6844614028967254,0.3519494204425711,0.7516879219804952,0.47942583732057414,1002,1845,331,2847,1333,1072,1.7210820895522387,0.44091685133482184,0.3215084394770944,0.22854870009401482,0.44091686199316443,0.35095954179804323,0.9564081092369587,0.017637075302367678,0.03849777731367809
0.15,2.0,0.7041207021269603,0.36178433438707414,0.7726931732933233,0.492822966507177,1030,1817,303,2847,1333,1072,1.694962686567164,0.49487581409532627,0.3623143476189919,0.24844127613146907,0.4948758283319143,0.4052123242708692,1.008991436986456,0.028696444659557157,0.03799761211481488
0.2,0.5,0.44596360386273043,0.36712184873949577,0.5243810952738185,0.4318813716404078,699,1205,634,1904,1333,1072,1.1240671641791045,0.24085417815253787,0.15584189697396603,0.14844161519335744,0.24085420094350202,0.16571269365736047,0.6592878365644241,-0.0444776551406271,0.0046167455091326364
0.2,1.0,0.636562007169225,0.47111344537815125,0.6729182295573893,0.5542168674698794,897,1007,436,1904,1333,1072,0.9393656716417911,0.35416044793372986,0.2548227676978478,0.19012949641465876,0.3541604585334867,0.2695790347562951,0.8424791559827747,-0.02456835095034528,0.020041509416191077
