score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error,mean_depth_error,mean_lateral_error,mean_euclidean_error,mean_range_error,mean_bearing_error_deg,mean_depth_bias,mean_lateral_bias
0.1,0.5,0.48697498477032264,0.23559577677224736,0.5858964741185296,0.3360585197934596,781,2534,552,3315,1333,1072,2.3638059701492535,0.261715713084002,0.17285381755511373,0.1543199121665863,0.2617157205705386,0.17448232406703973,0.7535303793909544,-0.011916515616540262,0.044320136051095554
0.1,1.0,0.6434343359302743,0.2895927601809955,0.7201800450112528,0.41308089500860584,960,2355,373,3315,1333,1072,2.1968283582089554,0.34844496083475474,0.24146457438667615,0.18909273252356798,0.3484449687358752,0.2547593376294574,0.8796554892749165,-0.017603420466184617,0.05099968386348337
0.1,1.5,0.6828719739791557,0.30346907993966815,0.754688672168042,0.43287435456110157,1006,2309,327,3315,1333,1072,2.153917910447761,0.43243718302656325,0.3020473360778323,0.22766648181093854,0.4324372000939281,0.33310594684564626,1.0037879202507145,-0.01870877273514067,0.043396210353488236
0.1,2.0,0.6978393854837023,0.3076923076923077,0.7651912978244562,0.43889845094664376,1020,2295,313,3315,1333,1072,2.140858208955224,0.4743708376839625,0.3347060479369818,0.24568761893931557,0.4743708545488055,0.37667465826115054,1.0372544096011767,-0.007675736558203604,0.041462272084226794
0.15,0.5,0.48697498477032264,0.3217905405405405,0.5716429107276819,0.4117805998378816,762,1606,571,2368,1333,1072,1.498134328358209,0.26069032967327993,0.17324408270868416,0.15276689103894972,0.2606903377452693,0.17309620916420804,0.7565135723474563,-0.012017503498107429,0.04710261991095981
0.15,1.0,0.6434343359302743,0.390625,0.6939234808702176,0.4998649013780059,925,1443,408,2368,1333,1072,1.3460820895522387,0.3422208423160592,0.2376857396718618,0.18549162606129777,0.3422208534101021,0.2500412394129885,0.8680195718459819,-0.017148655040844066,0.05735666446589135
0.15,1.5,0.6828719739791557,0.4066722972972973,0.722430607651913,0.5203998919211025,963,1405,370,2368,1333,1072,1.310634328358209,0.41879960131412675,0.2952016323402539,0.21787922321852618,0.4187996224516083,0.32184846508267456,0.9755321851993757,-0.016988273969196704,0.05188219553306467
0.15,2.0,0.6978393854837023,0.4125844594594595,0.732933233308327,0.5279654147527695,977,1391,356,2368,1333,1072,1.2975746268656716,0.4560724696333091,0.3225575469533399,0.23541492364820218,0.45607248817761464,0.359093481556791,1.0223610112851438,-0.010908354268225335,0.05204384493333657
0.2,0.5,0.48697498477032264,0.4120631341600902,0.5483870967741935,0.4705503701319601,731,1043,602,1774,1333,1072,0.9729477611940298,0.2602947770366789,0.17280032631473569,0.15222182038218476,0.26029478954412477,0.17198585254397666,0.7671511308545063,-0.013722227960213428,0.04899021422569468
0.2,1.0,0.6434343359302743,0.4954904171364149,0.6594148537134283,0.5658191181203733,879,895,454,1774,1333,1072,0.8348880597014925,0.3358839128498763,0.23288388355328904,0.181932141637775,0.3358839270240779,0.24475170019701706,0.8522869152538107,-0.019486451718587518,0.05943388352011658
0.2,1.5,0.6828719739791557,0.5191657271702368,0.6909227306826706,0.592854843900869,921,853,412,1774,1333,1072,0.7957089552238806,0.4092265977926123,0.28754518086436515,0.2137510797714695,0.4092266199809164,0.31222602504550107,0.969590976246196,-0.022373910317850684,0.05697909012097101
0.2,2.0,0.6978393854837023,0.5270574971815107,0.7014253563390848,0.6018667524943675,935,839,398,1774,1333,1072,0.7826492537313433,0.4425813258826045,0.3132193386873459,0.22837943624366414,0.44258134771656354,0.34670357977218424,1.005585632931735,-0.012251776424958744,0.05360962759683476
0.25,0.5,0.48697498477032264,0.50431654676259,0.5258814703675919,0.5148733015056922,701,689,632,1390,1333,1072,0.6427238805970149,0.25992699654882107,0.17237923658863455,0.15202980148426645,0.2599270090661941,0.17204390242111872,0.7673410131332293,-0.01634714232701888,0.05328331601815285
