epoch,step,train_loss_epoch,train_loss_step
0,0,11.849678993225098,
1,1,7.903964042663574,
2,2,7.775015354156494,
3,3,7.369868755340576,
4,4,6.9691667556762695,
5,5,6.792407512664795,
6,6,6.6817779541015625,
7,7,6.570084095001221,
8,8,6.462796211242676,
9,9,6.3670525550842285,
10,10,6.282873153686523,
11,11,6.21140718460083,
12,12,6.156158447265625,
13,13,6.119272708892822,
14,14,6.098966121673584,
15,15,6.089110851287842,
16,16,6.0803542137146,
17,17,6.063640117645264,
18,18,6.035684108734131,
19,19,6.001530647277832,
20,20,5.970695495605469,
21,21,5.950188636779785,
22,22,5.940352439880371,
23,23,5.936359405517578,
24,24,5.932963848114014,
25,25,5.927732467651367,
26,26,5.920801162719727,
27,27,5.912994861602783,
28,28,5.904785633087158,
29,29,5.896566867828369,
30,30,5.889159679412842,
31,31,5.8836588859558105,
32,32,5.880685806274414,
33,33,5.879828929901123,
34,34,5.879824161529541,
35,35,5.8793230056762695,
36,36,5.877618312835693,
37,37,5.874863147735596,
38,38,5.871790885925293,
39,39,5.869233131408691,
40,40,5.867694854736328,
41,41,5.8671183586120605,
42,42,5.8669562339782715,
43,43,5.866535663604736,
44,44,5.865549564361572,
45,45,5.86424446105957,
46,46,5.863109111785889,
47,47,5.862383842468262,
48,48,5.86189079284668,
49,49,,5.861349582672119
49,49,5.861349582672119,
50,50,5.860730171203613,
51,51,5.860235214233398,
52,52,5.859992980957031,
53,53,5.859889984130859,
54,54,5.859710693359375,
55,55,5.8593573570251465,
56,56,5.858912944793701,
57,57,5.8585333824157715,
58,58,5.858321189880371,
59,59,5.858261585235596,
60,60,5.858238220214844,
61,61,5.858122825622559,
62,62,5.85788631439209,
63,63,5.857625961303711,
64,64,5.857464790344238,
65,65,5.857433319091797,
66,66,5.85745096206665,
67,67,5.857427597045898,
68,68,5.857341289520264,
69,69,5.857234954833984,
70,70,5.857142925262451,
71,71,5.8570661544799805,
72,72,5.856992721557617,
73,73,5.856932640075684,
74,74,5.856900215148926,
75,75,5.8568878173828125,
76,76,5.856874942779541,
77,77,5.856844902038574,
78,78,5.856800079345703,
79,79,5.856748104095459,
80,80,5.856701374053955,
81,81,5.856668949127197,
82,82,5.856649398803711,
83,83,5.856632232666016,
84,84,5.8566083908081055,
85,85,5.856579303741455,
86,86,5.856551170349121,
87,87,5.85651969909668,
88,88,5.8564839363098145,
89,89,5.85645055770874,
90,90,5.85642671585083,
91,91,5.856411933898926,
92,92,5.856396198272705,
93,93,5.8563737869262695,
94,94,5.856346130371094,
95,95,5.856315612792969,
96,96,5.856290817260742,
97,97,5.856270790100098,
98,98,5.856252193450928,
99,99,,5.856232166290283
99,99,5.856232166290283,
100,100,5.856210708618164,
101,101,5.856189250946045,
102,102,5.856168746948242,
103,103,5.856148719787598,
104,104,5.856127738952637,
105,105,5.856106281280518,
106,106,5.8560872077941895,
107,107,5.8560686111450195,
108,108,5.856049537658691,
109,109,5.8560285568237305,
110,110,5.856008052825928,
111,111,5.855988025665283,
112,112,5.8559675216674805,
113,113,5.855947971343994,
114,114,5.85592794418335,
115,115,5.855907917022705,
116,116,5.8558878898620605,
117,117,5.855869293212891,
118,118,5.855849266052246,
119,119,5.855828762054443,
120,120,5.855808734893799,
121,121,5.855788230895996,
122,122,5.855768203735352,
123,123,5.855748653411865,
124,124,5.8557281494140625,
125,125,5.85570764541626,
126,126,5.855687141418457,
127,127,5.855666637420654,
128,128,5.855645656585693,
129,129,5.855626106262207,
130,130,5.855604648590088,
131,131,5.855584144592285,
132,132,5.855563640594482,
133,133,5.85554313659668,
134,134,5.855521202087402,
135,135,5.855500221252441,
136,136,5.8554792404174805,
137,137,5.855457782745361,
138,138,5.855436325073242,
139,139,5.855414867401123,
140,140,5.855393409729004,
141,141,5.855371952056885,
142,142,5.855350494384766,
143,143,5.85532808303833,
144,144,5.855306148529053,
145,145,5.855284214019775,
146,146,5.855262756347656,
147,147,5.855240345001221,
148,148,5.855218410491943,
149,149,,5.855195999145508
149,149,5.855195999145508,
150,150,5.855173587799072,
151,151,5.8551506996154785,
152,152,5.855128288269043,
153,153,5.855105400085449,
154,154,5.855082035064697,
155,155,5.855059623718262,
156,156,5.85503625869751,
157,157,5.855013370513916,
158,158,5.854990005493164,
159,159,5.854966163635254,
160,160,5.85494327545166,
161,161,5.854918956756592,
162,162,5.85489559173584,
163,163,5.85487174987793,
164,164,5.8548479080200195,
165,165,5.854823589324951,
166,166,5.854798793792725,
167,167,5.8547749519348145,
168,168,5.85474967956543,
169,169,5.854725360870361,
170,170,5.854701042175293,
171,171,5.854675769805908,
172,172,5.854650974273682,
173,173,5.854625701904297,
174,174,5.854599952697754,
175,175,5.854574680328369,
176,176,5.854549407958984,
177,177,5.854523181915283,
178,178,5.854496955871582,
179,179,5.854471206665039,
180,180,5.854444980621338,
181,181,5.85441780090332,
182,182,5.854391098022461,
183,183,5.85436487197876,
184,184,5.854337692260742,
185,185,5.854310512542725,
186,186,5.854283809661865,
187,187,5.854255676269531,
188,188,5.8542280197143555,
189,189,5.854199409484863,
190,190,5.854172229766846,
191,191,5.8541436195373535,
192,192,5.854115009307861,
193,193,5.854085922241211,
194,194,5.8540568351745605,
195,195,5.854027271270752,
196,196,5.853998184204102,
197,197,5.853968620300293,
198,198,5.853938102722168,
199,199,,5.853908538818359
199,199,5.853908538818359,
200,200,5.85387659072876,
201,201,5.853845596313477,
202,202,5.853815078735352,
203,203,5.853783130645752,
204,204,5.8537516593933105,
205,205,5.853719234466553,
206,206,5.853686809539795,
207,207,5.853654384613037,
208,208,5.853621006011963,
209,209,5.853588104248047,
210,210,5.85355281829834,
211,211,5.853518962860107,
212,212,5.853484153747559,
213,213,5.853448867797852,
214,214,5.8534135818481445,
215,215,5.853376865386963,
216,216,5.8533406257629395,
217,217,5.853303909301758,
218,218,5.85326623916626,
219,219,5.853227615356445,
220,220,5.853188991546631,
221,221,5.853149890899658,
222,222,5.853109359741211,
223,223,5.85306978225708,
224,224,5.853028297424316,
225,225,5.852985858917236,
226,226,5.852943420410156,
227,227,5.852899551391602,
228,228,5.852856159210205,
229,229,5.852810382843018,
230,230,5.852764129638672,
231,231,5.852717876434326,
232,232,5.852670192718506,
233,233,5.8526201248168945,
234,234,5.852570533752441,
235,235,5.852519512176514,
236,236,5.8524675369262695,
237,237,5.852413177490234,
238,238,5.852357864379883,
239,239,5.852301120758057,
240,240,5.852243423461914,
241,241,5.8521833419799805,
242,242,5.852121353149414,
243,243,5.852057456970215,
244,244,5.851992607116699,
245,245,5.851924896240234,
246,246,5.85185432434082,
247,247,5.851781845092773,
248,248,5.851705551147461,
249,249,,5.851627826690674
249,249,5.851627826690674,
250,250,5.851546764373779,
251,251,5.851461410522461,
252,252,5.851372718811035,
253,253,5.8512797355651855,
254,254,5.85118293762207,
255,255,5.851080894470215,
256,256,5.850973129272461,
257,257,5.850859642028809,
258,258,5.850739479064941,
259,259,5.850612163543701,
260,260,5.850476264953613,
261,261,5.850331783294678,
262,262,5.850176811218262,
263,263,5.850009918212891,
264,264,5.849830627441406,
265,265,5.849636554718018,
266,266,5.849424362182617,
267,267,5.849193572998047,
268,268,5.848941326141357,
269,269,5.84866189956665,
270,270,5.848352432250977,
271,271,5.848007678985596,
272,272,5.847621440887451,
273,273,5.847186088562012,
274,274,5.8466925621032715,
275,275,5.846129417419434,
276,276,5.845484733581543,
277,277,5.844740390777588,
278,278,5.843879699707031,
279,279,5.842878341674805,
280,280,5.841710090637207,
281,281,5.840345859527588,
282,282,5.838751316070557,
283,283,5.836889743804932,
284,284,5.834720134735107,
285,285,5.832197189331055,
286,286,5.829268455505371,
287,287,5.825870037078857,
288,288,5.821929454803467,
289,289,5.817354202270508,
290,290,5.8120341300964355,
291,291,5.8058342933654785,
292,292,5.79859733581543,
293,293,5.790132999420166,
294,294,5.780224323272705,
295,295,5.768609523773193,
296,296,5.7549638748168945,
297,297,5.7388787269592285,
298,298,5.7198405265808105,
299,299,,5.6972270011901855
299,299,5.6972270011901855,
300,300,5.670348167419434,
301,301,5.638546943664551,
302,302,5.601312637329102,
303,303,5.558230400085449,
304,304,5.508886337280273,
305,305,5.452854156494141,
306,306,5.3903937339782715,
307,307,5.338272571563721,
308,308,5.602701187133789,
309,309,6.106696605682373,
310,310,5.207334041595459,
311,311,5.790778160095215,
312,312,5.493831634521484,
313,313,5.216617584228516,
314,314,5.471351623535156,
315,315,5.167576313018799,
316,316,5.040149211883545,
317,317,5.150500774383545,
318,318,4.918639183044434,
319,319,4.818971157073975,
320,320,4.8811726570129395,
321,321,4.7017693519592285,
322,322,4.646031856536865,
323,323,4.650957107543945,
324,324,4.511908531188965,
325,325,4.483641624450684,
326,326,4.42938232421875,
327,327,4.330960750579834,
328,328,4.257091045379639,
329,329,4.211477756500244,
330,330,4.135162353515625,
331,331,4.073635101318359,
332,332,4.023232460021973,
333,333,3.957946300506592,
334,334,3.9019856452941895,
335,335,3.8559165000915527,
336,336,3.7940120697021484,
337,337,3.746382474899292,
338,338,3.6955089569091797,
339,339,3.6334288120269775,
340,340,3.593398094177246,
341,341,3.536834478378296,
342,342,3.4937376976013184,
343,343,3.4482338428497314,
344,344,3.4023890495300293,
345,345,3.3628134727478027,
346,346,3.3300118446350098,
347,347,3.2950854301452637,
348,348,3.2778265476226807,
349,349,,3.271214008331299
349,349,3.271214008331299,
350,350,3.2926712036132812,
351,351,3.32869553565979,
352,352,3.2293715476989746,
353,353,3.1546578407287598,
354,354,3.178375244140625,
355,355,3.1515955924987793,
356,356,3.1061718463897705,
357,357,3.1034491062164307,
358,358,3.092348098754883,
359,359,3.066746234893799,
360,360,3.04866886138916,
361,361,3.051208734512329,
362,362,3.022916078567505,
363,363,3.008979082107544,
364,364,3.0154025554656982,
365,365,2.981719970703125,
366,366,2.9817700386047363,
367,367,2.974196195602417,
368,368,2.952216386795044,
369,369,2.954993486404419,
370,370,2.9402239322662354,
371,371,2.930922031402588,
372,372,2.9263007640838623,
373,373,2.917754650115967,
374,374,2.910593271255493,
375,375,2.9032444953918457,
376,376,2.9013843536376953,
377,377,2.893035888671875,
378,378,2.885776996612549,
379,379,2.8856277465820312,
380,380,2.879091262817383,
381,381,2.8731579780578613,
382,382,2.869964361190796,
383,383,2.865217924118042,
384,384,2.8626761436462402,
385,385,2.858078718185425,
386,386,2.852339029312134,
387,387,2.849863290786743,
388,388,2.8465774059295654,
389,389,2.843254804611206,
390,390,2.840437412261963,
391,391,2.835855484008789,
392,392,2.83233642578125,
393,393,2.8295087814331055,
394,394,2.8262507915496826,
395,395,2.8242475986480713,
396,396,2.8222899436950684,
397,397,2.820279598236084,
398,398,2.8192646503448486,
399,399,,2.8184008598327637
399,399,2.8184008598327637,
400,400,2.818159818649292,
401,401,2.8200151920318604,
402,402,2.822373628616333,
403,403,2.828217029571533,
404,404,2.830828905105591,
405,405,2.831556797027588,
406,406,2.819070339202881,
407,407,2.805708169937134,
408,408,2.799433946609497,
409,409,2.80336594581604,
410,410,2.8092002868652344,
411,411,2.806347131729126,
412,412,2.7983481884002686,
413,413,2.791642665863037,
414,414,2.792053461074829,
415,415,2.7953364849090576,
416,416,2.794189929962158,
417,417,2.7891743183135986,
418,418,2.7842562198638916,
419,419,2.783658027648926,
420,420,2.7851624488830566,
421,421,2.7841994762420654,
422,422,2.7807183265686035,
423,423,2.7770795822143555,
424,424,2.7759270668029785,
425,425,2.776275157928467,
426,426,2.775522232055664,
