epoch,step,train_loss_epoch,train_loss_step
0,7,5.844651222229004,
1,15,4.239222049713135,
2,23,4.299075603485107,
3,31,4.095012187957764,
4,39,3.9524617195129395,
5,47,3.984229564666748,
6,49,,4.602669715881348
6,55,3.8618030548095703,
7,63,4.040816783905029,
8,71,3.923947811126709,
9,79,4.04402494430542,
10,87,4.024992942810059,
11,95,3.994429349899292,
12,99,,3.340595006942749
12,103,3.9696171283721924,
13,111,3.960733652114868,
14,119,3.955876350402832,
15,127,3.9917356967926025,
16,135,4.022585868835449,
17,143,3.9610655307769775,
18,149,,3.213665008544922
18,151,3.9725823402404785,
19,159,3.9279515743255615,
20,167,3.962232828140259,
21,175,4.038974285125732,
22,183,3.8708763122558594,
23,191,3.89776611328125,
24,199,,2.8622140884399414
24,199,3.93465256690979,
25,207,3.758319616317749,
26,215,3.8417303562164307,
27,223,3.794950485229492,
28,231,3.685920238494873,
29,239,3.7674238681793213,
30,247,3.5981953144073486,
31,249,,4.515826225280762
31,255,3.725954532623291,
32,263,3.6743855476379395,
33,271,3.628131866455078,
34,279,3.693265914916992,
35,287,3.603872060775757,
36,295,3.603355884552002,
37,299,,3.062073230743408
37,303,3.622978448867798,
38,311,3.591883420944214,
39,319,3.629845142364502,
40,327,3.5550224781036377,
41,335,3.541055917739868,
42,343,3.408036470413208,
43,349,,2.5974607467651367
43,351,3.356797933578491,
44,359,3.4012298583984375,
45,367,3.3130314350128174,
46,375,3.444598913192749,
47,383,3.317009210586548,
48,391,3.3315422534942627,
49,399,,2.3871216773986816
49,399,3.3483293056488037,
50,407,3.385972261428833,
51,415,3.359869956970215,
52,423,3.314628839492798,
53,431,3.3613781929016113,
54,439,3.1878650188446045,
55,447,3.3446009159088135,
56,449,,4.662829399108887
56,455,3.329465389251709,
57,463,3.208425760269165,
58,471,3.3007991313934326,
59,479,3.3128035068511963,
60,487,3.2908613681793213,
61,495,3.2572100162506104,
62,499,,2.7188258171081543
62,503,3.2263646125793457,
63,511,3.282288074493408,
64,519,3.2382946014404297,
65,527,3.304332971572876,
66,535,3.2895007133483887,
67,543,3.304816246032715,
68,549,,2.383378744125366
68,551,3.129955768585205,
69,559,3.167774200439453,
70,567,3.2566709518432617,
71,575,3.123638391494751,
72,583,3.214895009994507,
73,591,3.215857982635498,
74,599,,2.3107197284698486
74,599,3.2087721824645996,
75,607,3.1277027130126953,
76,615,3.183710813522339,
77,623,3.175999879837036,
78,631,3.1790666580200195,
79,639,3.321152925491333,
80,647,3.2253167629241943,
81,649,,4.0435709953308105
81,655,3.1673779487609863,
82,663,3.2448346614837646,
83,671,3.200615167617798,
84,679,3.242976188659668,
85,687,3.122673511505127,
86,695,3.283276319503784,
87,699,,2.4005484580993652
87,703,3.253978729248047,
88,711,3.2032132148742676,
89,719,3.1043853759765625,
90,727,3.190084218978882,
91,735,3.199120044708252,
92,743,3.122810125350952,
93,749,,2.4592373371124268
93,751,3.2328898906707764,
94,759,3.1512556076049805,
95,767,3.2422616481781006,
96,775,3.187237501144409,
97,783,3.1666831970214844,
98,791,3.1557860374450684,
99,799,,2.189852476119995
99,799,3.2076528072357178,
100,807,3.1466169357299805,
101,815,3.204394578933716,
102,823,3.097890853881836,
103,831,3.1963388919830322,
104,839,3.2282421588897705,
105,847,3.1755175590515137,
106,849,,4.238463878631592
106,855,3.1177351474761963,
107,863,3.171895742416382,
108,871,3.131718873977661,
109,879,3.1107754707336426,
110,887,3.252776622772217,
111,895,3.174936532974243,
112,899,,2.441012382507324
112,903,3.1274003982543945,
113,911,3.105901002883911,
114,919,3.138312578201294,
115,927,3.188896894454956,
116,935,3.22571063041687,
117,943,3.2022063732147217,
118,949,,2.5565853118896484
118,951,3.169856071472168,
119,959,3.1433277130126953,
120,967,3.1873056888580322,
