epoch,step,train_loss
49,49,0.9995515942573547
99,99,0.9822795987129211
149,149,0.5913355946540833
199,199,0.5465621948242188
249,249,0.5318637490272522
299,299,0.5142104625701904
349,349,0.496735543012619
399,399,0.483371376991272
449,449,0.45861339569091797
499,499,0.4330422878265381
549,549,0.41007116436958313
599,599,0.3887648582458496
649,649,0.3665317893028259
699,699,0.3467995524406433
749,749,0.32459506392478943
799,799,0.30448490381240845
849,849,0.2871674597263336
899,899,0.26811861991882324
949,949,0.250093936920166
999,999,0.2335561364889145
