epoch,step,train_loss
49,49,0.9996612668037415
99,99,0.99833083152771
149,149,0.760243833065033
199,199,0.5558679699897766
249,249,0.5447505116462708
299,299,0.5231316089630127
349,349,0.49854591488838196
399,399,0.4720381498336792
449,449,0.445298433303833
499,499,0.41747725009918213
549,549,0.39033621549606323
599,599,0.3637816309928894
649,649,0.33986276388168335
699,699,0.31693413853645325
749,749,0.2957298457622528
799,799,0.27647531032562256
849,849,0.259909451007843
899,899,0.2424507737159729
949,949,0.2261950969696045
999,999,0.21170730888843536
1049,1049,0.19698002934455872
1099,1099,0.18428513407707214
1149,1149,0.17170986533164978
1199,1199,0.16011708974838257
1249,1249,0.1502905637025833
1299,1299,0.14102712273597717
1349,1349,0.1350286602973938
1399,1399,0.12396190315485
1449,1449,0.11749491840600967
1499,1499,0.10964551568031311
1549,1549,0.10379291325807571
1599,1599,0.0995258018374443
1649,1649,0.09269870817661285
1699,1699,0.08783382177352905
1749,1749,0.0835786983370781
1799,1799,0.07918549329042435
1849,1849,0.07573042064905167
1899,1899,0.0723162293434143
1949,1949,0.06832420825958252
1999,1999,0.06518179923295975
