epoch,step,train_loss_epoch,train_loss_step
0,0,0.4904292821884155,
1,1,0.30661943554878235,
2,2,0.2541218101978302,
3,3,0.22649872303009033,
4,4,0.19865332543849945,
5,5,0.20077189803123474,
6,6,0.16514019668102264,
7,7,0.15422189235687256,
8,8,0.14570175111293793,
9,9,0.13261139392852783,
10,10,0.1310105323791504,
11,11,0.1315564662218094,
12,12,0.12678249180316925,
13,13,0.10680446773767471,
14,14,0.10227933526039124,
15,15,0.0995820090174675,
16,16,0.09288719296455383,
17,17,0.09679676592350006,
18,18,0.08884746581315994,
19,19,0.084932342171669,
20,20,0.08539194613695145,
21,21,0.0811932384967804,
22,22,0.07965113967657089,
23,23,0.07732527703046799,
24,24,0.08030961453914642,
25,25,0.07952132076025009,
26,26,0.08143988996744156,
27,27,0.07589427381753922,
28,28,0.07521223276853561,
29,29,0.07478015124797821,
30,30,0.07386457175016403,
31,31,0.07747935503721237,
32,32,0.07675469666719437,
33,33,0.07411683350801468,
34,34,0.07194598019123077,
35,35,0.0719379335641861,
36,36,0.07198278605937958,
37,37,0.0704827606678009,
38,38,0.06803570687770844,
39,39,0.07049330323934555,
40,40,0.06727615743875504,
41,41,0.06727719306945801,
42,42,0.07042057812213898,
43,43,0.06536155194044113,
44,44,0.06797076016664505,
45,45,0.06723307073116302,
46,46,0.0681987851858139,
47,47,0.06959682703018188,
48,48,0.06856579333543777,
49,49,,0.06743966042995453
49,49,0.06743966042995453,
50,50,0.0648966059088707,
51,51,0.07389884442090988,
52,52,0.06901368498802185,
53,53,0.06734398007392883,
54,54,0.0670115128159523,
55,55,0.06782492250204086,
56,56,0.06784773617982864,
57,57,0.06786144524812698,
58,58,0.06603440642356873,
59,59,0.0640072152018547,
60,60,0.06564635038375854,
61,61,0.0649218037724495,
62,62,0.06423488259315491,
63,63,0.0611722432076931,
64,64,0.06492970138788223,
65,65,0.06425531953573227,
66,66,0.06355714052915573,
67,67,0.061644043773412704,
68,68,0.06470631808042526,
69,69,0.06403517723083496,
70,70,0.06337486207485199,
71,71,0.06379727274179459,
72,72,0.06258464604616165,
73,73,0.06191054359078407,
74,74,0.0664447769522667,
75,75,0.061995118856430054,
76,76,0.06449759006500244,
77,77,0.061252471059560776,
78,78,0.06467991322278976,
79,79,0.06198538839817047,
80,80,0.06053615361452103,
81,81,0.06159397214651108,
82,82,0.059091873466968536,
83,83,0.061057835817337036,
84,84,0.06251192092895508,
85,85,0.061447493731975555,
86,86,0.06144062057137489,
87,87,0.060807012021541595,
88,88,0.05984878912568092,
89,89,0.0619422048330307,
90,90,0.06073591485619545,
91,91,0.060094356536865234,
92,92,0.05857723206281662,
93,93,0.0610235296189785,
94,94,0.059736218303442,
95,95,0.05908416211605072,
96,96,0.058051660656929016,
97,97,0.05822155252099037,
98,98,0.05817202106118202,
99,99,,0.05815887823700905
99,99,0.05815887823700905,
100,100,0.057188764214515686,
101,101,0.05984082072973251,
102,102,0.058477602899074554,
103,103,0.057324182242155075,
104,104,0.058327816426754,
105,105,0.05652201548218727,
106,106,0.05683291330933571,
107,107,0.056249119341373444,
108,108,0.057365890592336655,
109,109,0.058993399143218994,
110,110,0.056379303336143494,
111,111,0.053785812109708786,
112,112,0.05559916794300079,
113,113,0.05383769050240517,
114,114,0.05646410584449768,
115,115,0.05718769505620003,
116,116,0.0555134117603302,
117,117,0.055151551961898804,
118,118,0.05156145244836807,
119,119,0.05346084013581276,
120,120,0.05417624115943909,
121,121,0.05613474175333977,
122,122,0.05470534414052963,
123,123,0.05305974930524826,
124,124,0.054632432758808136,
125,125,0.05358254909515381,
126,126,0.05412570759654045,
127,127,0.054071392863988876,
128,128,0.05156852304935455,
129,129,0.05449357628822327,
130,130,0.05380728468298912,
131,131,0.05267857387661934,
132,132,0.05463247001171112,
133,133,0.05510852485895157,
134,134,0.05287943407893181,
135,135,0.055731967091560364,
136,136,0.05237765610218048,
137,137,0.052498411387205124,
138,138,0.05157022923231125,
139,139,0.05250329151749611,
140,140,0.05297645181417465,
141,141,0.05234764516353607,
142,142,0.049980342388153076,
143,143,0.051933653652668,
144,144,0.05124683678150177,
145,145,0.05066734179854393,
146,146,0.05207068473100662,
147,147,0.05126112326979637,
148,148,0.04911705106496811,
149,149,,0.051195692270994186
149,149,0.051195692270994186,
150,150,0.05202096328139305,
151,151,0.051827333867549896,
152,152,0.052027247846126556,
153,153,0.051878202706575394,
154,154,0.05072890594601631,
155,155,0.05040212720632553,
156,156,0.05232994258403778,
157,157,0.05279964953660965,
158,158,0.050079017877578735,
159,159,0.051764290779829025,
160,160,0.04924168810248375,
161,161,0.051102008670568466,
162,162,0.05149654671549797,
163,163,0.051481693983078,
164,164,0.04956701025366783,
165,165,0.049469999969005585,
