epoch,step,train_loss_epoch,train_loss_step
0,7,4.552923202514648,
1,15,4.068121433258057,
2,23,4.018983840942383,
3,31,3.8833842277526855,
4,39,3.96757435798645,
5,47,4.009938716888428,
6,49,,4.963287353515625
6,55,3.9728455543518066,
7,63,3.997087240219116,
8,71,3.9330852031707764,
9,79,4.002964973449707,
10,87,4.044362545013428,
11,95,3.97002911567688,
12,99,,3.4981679916381836
12,103,3.9798951148986816,
13,111,3.92002272605896,
14,119,3.9404280185699463,
15,127,3.932893753051758,
16,135,3.883131742477417,
17,143,3.993544340133667,
18,149,,3.0615382194519043
18,151,3.969727039337158,
19,159,3.938450336456299,
20,167,3.8859081268310547,
21,175,3.9337689876556396,
22,183,3.827800989151001,
23,191,3.826592445373535,
24,199,,2.7914395332336426
24,199,3.856788158416748,
25,207,3.81591796875,
26,215,3.712730884552002,
27,223,3.668586492538452,
28,231,3.678645133972168,
29,239,3.722783088684082,
30,247,3.7343297004699707,
31,249,,4.724435806274414
31,255,3.6980316638946533,
32,263,3.5755085945129395,
33,271,3.6478967666625977,
34,279,3.5825068950653076,
35,287,3.745490550994873,
36,295,3.5200908184051514,
37,299,,2.96175479888916
37,303,3.5933282375335693,
38,311,3.5005247592926025,
39,319,3.683048725128174,
40,327,3.5232036113739014,
41,335,3.455217123031616,
42,343,3.5529277324676514,
43,349,,2.8654041290283203
43,351,3.5054357051849365,
44,359,3.476031541824341,
45,367,3.4118597507476807,
46,375,3.5643982887268066,
47,383,3.5200908184051514,
48,391,3.412036895751953,
49,399,,2.508061170578003
49,399,3.4519734382629395,
50,407,3.4344239234924316,
51,415,3.5548901557922363,
52,423,3.4353644847869873,
53,431,3.399083137512207,
54,439,3.45583176612854,
55,447,3.377995491027832,
56,449,,4.332594871520996
56,455,3.4403483867645264,
57,463,3.4129490852355957,
58,471,3.3294596672058105,
59,479,3.40311598777771,
60,487,3.3312458992004395,
61,495,3.240072727203369,
62,499,,2.829498529434204
62,503,3.3469157218933105,
63,511,3.2595183849334717,
64,519,3.249544620513916,
65,527,3.282804489135742,
66,535,3.31948184967041,
67,543,3.4056928157806396,
68,549,,2.5825159549713135
68,551,3.4377405643463135,
69,559,3.354088306427002,
70,567,3.327589750289917,
71,575,3.3639519214630127,
72,583,3.288463830947876,
73,591,3.341301441192627,
74,599,,2.5157227516174316
74,599,3.3142528533935547,
75,607,3.27815318107605,
76,615,3.3573968410491943,
77,623,3.248610734939575,
78,631,3.292463541030884,
79,639,3.274573802947998,
80,647,3.304973602294922,
81,649,,4.0097551345825195
81,655,3.229079484939575,
82,663,3.2027103900909424,
83,671,3.2642436027526855,
84,679,3.2180538177490234,
85,687,3.2453150749206543,
86,695,3.0994160175323486,
87,699,,2.4880528450012207
87,703,3.2357444763183594,
88,711,3.233320713043213,
89,719,3.2402992248535156,
90,727,3.342219114303589,
91,735,3.286827325820923,
92,743,3.244365692138672,
93,749,,2.4500820636749268
93,751,3.2551186084747314,
94,759,3.259779930114746,
95,767,3.2127554416656494,
96,775,3.259547233581543,
97,783,3.2879154682159424,
98,791,3.200098991394043,
99,799,,2.281177282333374
99,799,3.292597532272339,
100,807,3.208698272705078,
101,815,3.2663633823394775,
102,823,3.1196727752685547,
103,831,3.262590169906616,
104,839,3.164923667907715,
105,847,3.269874334335327,
106,849,,4.248042106628418
106,855,3.243029832839966,
107,863,3.15826678276062,
108,871,3.289802074432373,
109,879,3.200648307800293,
110,887,3.2231643199920654,
111,895,3.202432870864868,
112,899,,2.48152756690979
112,903,3.1564128398895264,
113,911,3.136009693145752,
114,919,3.1417200565338135,
115,927,3.2129218578338623,
116,935,3.175015926361084,
117,943,3.1378114223480225,
118,949,,2.324122428894043
118,951,3.0946922302246094,
119,959,3.146794319152832,
120,967,3.1844847202301025,
121,975,3.2654387950897217,
122,983,3.073758363723755,
123,991,3.1148059368133545,
124,999,,2.1180591583251953
124,999,3.0955889225006104,
125,1007,3.1453332901000977,
126,1015,3.230624198913574,
127,1023,3.314570903778076,
128,1031,3.2517335414886475,
129,1039,3.1443073749542236,
130,1047,3.2454349994659424,
131,1049,,4.087602615356445
131,1055,3.037076473236084,
132,1063,3.1417813301086426,
133,1071,3.124760627746582,
