epoch,step,train_loss
49,49,0.9987847208976746
99,99,0.9292697310447693
149,149,0.5499632954597473
199,199,0.511143684387207
249,249,0.4687211513519287
299,299,0.4244033694267273
349,349,0.3784731924533844
399,399,0.33486732840538025
449,449,0.29481253027915955
499,499,0.2613673210144043
549,549,0.2273377627134323
599,599,0.20067857205867767
649,649,0.1781466007232666
699,699,0.15596680343151093
749,749,0.13869988918304443
799,799,0.12081144005060196
849,849,0.1076730489730835
899,899,0.09513337165117264
949,949,0.086631178855896
999,999,0.0751878097653389
