epoch,step,train_loss_epoch,train_loss_step
0,0,0.5644575357437134,
1,1,0.3233020305633545,
2,2,0.22264902293682098,
3,3,0.15733139216899872,
4,4,0.1250467747449875,
5,5,0.10371912270784378,
6,6,0.08324514329433441,
7,7,0.06575820595026016,
8,8,0.051983535289764404,
9,9,0.04136349633336067,
10,10,0.033909913152456284,
11,11,0.029269594699144363,
12,12,0.02583821676671505,
13,13,0.02245425619184971,
14,14,0.019438063725829124,
15,15,0.01719256490468979,
16,16,0.015235486440360546,
17,17,0.013155675493180752,
18,18,0.011345705017447472,
19,19,0.010287371464073658,
20,20,0.009737597778439522,
21,21,0.009044240228831768,
22,22,0.00796192791312933,
23,23,0.006800536531955004,
24,24,0.005905672442167997,
25,25,0.0052897073328495026,
26,26,0.004796845372766256,
27,27,0.004371229093521833,
28,28,0.004029869567602873,
29,29,0.003717638785019517,
30,30,0.003336711088195443,
31,31,0.002890327014029026,
32,32,0.0025005778297781944,
33,33,0.0022526232060045004,
34,34,0.0020704406779259443,
35,35,0.001815437339246273,
36,36,0.001484746695496142,
37,37,0.0012152298586443067,
38,38,0.001091957907192409,
39,39,0.0010541947558522224,
40,40,0.0010099423816427588,
41,41,0.000944568426348269,
42,42,0.0008797399350441992,
43,43,0.000809221004601568,
44,44,0.0007230829214677215,
45,45,0.0006422838196158409,
46,46,0.0005889077438041568,
47,47,0.0005510876653715968,
48,48,0.0005042481352575123,
49,49,,0.0004482335352804512
49,49,0.0004482335352804512,
50,50,0.00040031393291428685,
51,51,0.00036407768493518233,
52,52,0.0003278142830822617,
53,53,0.0002879649691749364,
54,54,0.00025548372650519013,
55,55,0.0002377746277488768,
56,56,0.00022595390328206122,
57,57,0.0002067227615043521,
58,58,0.00018176213779952377,
59,59,0.00016507598047610372,
60,60,0.00016105957911349833,
61,61,0.00015680177602916956,
62,62,0.00014008111611474305,
63,63,0.0001149619129137136,
64,64,9.395854431204498e-05,
65,65,8.238832378992811e-05,
66,66,7.652562635485083e-05,
67,67,7.226446905406192e-05,
68,68,6.916130951140076e-05,
69,69,6.69582950649783e-05,
70,70,6.349449540721253e-05,
71,71,5.778934792033397e-05,
72,72,5.164675894775428e-05,
73,73,4.6360306441783905e-05,
74,74,4.121382153243758e-05,
75,75,3.649697464425117e-05,
76,76,3.3693970181047916e-05,
77,77,3.181626743753441e-05,
78,78,2.8290196496527642e-05,
79,79,2.35931856877869e-05,
80,80,2.0469895389396697e-05,
81,81,1.935066029545851e-05,
82,82,1.840068944147788e-05,
83,83,1.6783365936134942e-05,
84,84,1.5061124940984882e-05,
85,85,1.3641912119055633e-05,
86,86,1.2470117326301988e-05,
87,87,1.147642524301773e-05,
88,88,1.0667904462025035e-05,
89,89,1.0074096280732192e-05,
90,90,9.716064596432261e-06,
91,91,9.50624053075444e-06,
92,92,9.21472928894218e-06,
93,93,8.716958291188348e-06,
94,94,8.211670319724362e-06,
95,95,7.871836714912206e-06,
96,96,7.49180526327109e-06,
97,97,6.927767117304029e-06,
98,98,6.452264642575756e-06,
99,99,,6.2390781749854796e-06
99,99,6.2390781749854796e-06,
