epoch,step,train_loss
49,49,0.9994471073150635
99,99,0.965054988861084
149,149,0.607006311416626
199,199,0.5551100969314575
249,249,0.5466620326042175
299,299,0.534250795841217
349,349,0.517559826374054
399,399,0.4982640743255615
449,449,0.4761620759963989
499,499,0.45109814405441284
549,549,0.43121984601020813
599,599,0.4050682485103607
649,649,0.37741416692733765
699,699,0.35628750920295715
749,749,0.33376941084861755
799,799,0.31443220376968384
849,849,0.29665884375572205
899,899,0.27951580286026
949,949,0.2636411786079407
999,999,0.2485826313495636
1049,1049,0.2347332090139389
1099,1099,0.22324934601783752
1149,1149,0.2093786895275116
1199,1199,0.19742558896541595
1249,1249,0.1864096224308014
1299,1299,0.17638085782527924
1349,1349,0.1660466492176056
1399,1399,0.15710213780403137
1449,1449,0.14815616607666016
1499,1499,0.14197123050689697
1549,1549,0.1320081204175949
1599,1599,0.12565413117408752
1649,1649,0.1182432696223259
1699,1699,0.11222381889820099
1749,1749,0.10625806450843811
1799,1799,0.10073669254779816
1849,1849,0.09580345451831818
1899,1899,0.09178002923727036
1949,1949,0.08640729635953903
1999,1999,0.08312125504016876
2049,2049,0.07841876894235611
2099,2099,0.07500450313091278
2149,2149,0.0717262476682663
2199,2199,0.06852689385414124
2249,2249,0.06595651060342789
2299,2299,0.06329602748155594
2349,2349,0.06031488999724388
2399,2399,0.05830295756459236
2449,2449,0.05583386495709419
2499,2499,0.05344875156879425
2549,2549,0.05177576467394829
2599,2599,0.04985864460468292
2649,2649,0.04855215921998024
2699,2699,0.04636596143245697
2749,2749,0.04519004747271538
2799,2799,0.043249357491731644
2849,2849,0.0419500507414341
2899,2899,0.040894150733947754
2949,2949,0.0395820178091526
2999,2999,0.0383998341858387
3049,3049,0.03752589598298073
3099,3099,0.03659382462501526
3149,3149,0.035841964185237885
3199,3199,0.035022832453250885
3249,3249,0.03374025225639343
3299,3299,0.03296646848320961
3349,3349,0.032156847417354584
3399,3399,0.03223297744989395
3449,3449,0.03077145852148533
3499,3499,0.030575981363654137
3549,3549,0.029582202434539795
3599,3599,0.029335493221879005
3649,3649,0.029108120128512383
3699,3699,0.028687532991170883
3749,3749,0.02757490798830986
3799,3799,0.027645856142044067
3849,3849,0.02680887281894684
3899,3899,0.026579713448882103
3949,3949,0.026306139305233955
3999,3999,0.0259719155728817
