epoch,step,train_loss
49,49,0.9996363520622253
99,99,0.9982826709747314
149,149,0.7392185926437378
199,199,0.5501806735992432
249,249,0.5311794877052307
299,299,0.5138986706733704
349,349,0.4892616271972656
399,399,0.46352285146713257
449,449,0.4364718496799469
499,499,0.4102596640586853
549,549,0.3871132731437683
599,599,0.36151498556137085
649,649,0.3390372693538666
699,699,0.3179512321949005
749,749,0.30147379636764526
799,799,0.27800253033638
849,849,0.26031702756881714
899,899,0.2436678409576416
949,949,0.22774717211723328
999,999,0.2139570116996765
